# STAR             = HIP114971
# RA(ICRS, deg)    = 349.29141
# Dec(ICRS, deg)   = 3.2822883
# pmRA  (mas/yr)   = 759.820
# pmDec (mas/yr)   = 17.7700
# parallax (mas)   = 23.6400
# Vrad  (km/s)     = -14480.0
# Vtemplate (km/s) = -43132.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2019-05-06T05-11-35_ext.ooo        2458609.7173909000  2458609.7147536683     -37676.98     -13966.88    103.53      4.43    7819.8
s1_2019-05-07T04-54-44_ext.ooo        2458610.7056930000  2458610.7031332208     -37993.89     -13984.75    116.77      5.07    6385.7
s1_2019-05-07T04-57-46_ext.ooo        2458610.7077994002  2458610.7052397896     -37996.19     -13988.58    115.30      5.49    6353.0
s1_2019-05-07T05-00-46_ext.ooo        2458610.7098860000  2458610.7073265566     -37992.61     -13986.57    111.76      5.27    6605.4
s1_2019-05-08T04-50-07_ext.ooo        2458611.7024853998  2458611.7000047034     -38280.51     -13986.50    115.19      5.02    6766.2
s1_2019-05-08T04-53-07_ext.ooo        2458611.7045741002  2458611.7020935728     -38281.09     -13988.59    104.61      4.54    7310.2
s1_2019-05-08T04-56-09_ext.ooo        2458611.7066799998  2458611.7041996433     -38278.54     -13987.63    109.96      4.82    6744.2
s1_2019-05-09T04-31-40_ext.ooo        2458612.6896811002  2458612.6872796323     -38565.13     -13987.88    125.55      6.13    5909.6
s1_2019-05-09T04-34-42_ext.ooo        2458612.6917868000  2458612.6893855049     -38569.60     -13993.57    115.40      5.56    6500.4
s1_2019-05-09T04-37-43_ext.ooo        2458612.6938760998  2458612.6914749760     -38567.94     -13993.18    115.73      5.66    6457.3
s1_2019-05-10T04-28-40_ext.ooo        2458613.6875948999  2458613.6852744389     -38796.51     -13950.53    129.99      6.02    5455.3
s1_2019-05-10T04-31-43_ext.ooo        2458613.6897131000  2458613.6873928150     -38796.98     -13952.27    112.48      4.84    6136.5
s1_2019-05-10T04-34-44_ext.ooo        2458613.6918060002  2458613.6894858885     -38795.27     -13951.88    110.82      5.20    5834.7
s1_2019-05-11T05-03-33_ext.ooo        2458614.7118158001  2458614.7095794328     -39056.08     -13970.15    119.89      5.20    7376.1
s1_2019-05-11T05-06-35_ext.ooo        2458614.7139194999  2458614.7116833087     -39053.30     -13969.48    120.01      5.29    7340.7
s1_2019-05-11T05-09-38_ext.ooo        2458614.7160370001  2458614.7138009863     -39055.32     -13973.68    118.90      5.34    7918.1
s1_2019-05-13T04-45-50_ext.ooo        2458616.6995126000  2458616.6974419099     -39576.44     -13984.98    120.68      5.60    8232.4
s1_2019-05-13T04-48-50_ext.ooo        2458616.7016014000  2458616.6995308883     -39575.62     -13986.09    120.29      5.69    8911.7
s1_2019-05-13T04-51-52_ext.ooo        2458616.7037076000  2458616.7016372681     -39569.83     -13982.30    111.38      5.30    8833.6
s1_2019-05-14T04-26-59_ext.ooo        2458617.6864217999  2458617.6844345615     -39816.24     -13977.94    103.30      5.46    8762.0
s1_2019-05-14T04-29-59_ext.ooo        2458617.6885106000  2458617.6865235418     -39813.85     -13977.17    111.88      5.71    8698.3
s1_2019-05-14T04-33-01_ext.ooo        2458617.6906079999  2458617.6886211224     -39810.13     -13975.15    115.83      5.89    8862.1
