# STAR             = HIP114971
# RA(ICRS, deg)    = 349.29141
# Dec(ICRS, deg)   = 3.2822883
# pmRA  (mas/yr)   = 759.820
# pmDec (mas/yr)   = 17.7700
# parallax (mas)   = 23.6400
# Vrad  (km/s)     = -14480.0
# Vtemplate (km/s) = -43132.0
# -------------------------------------------------------------------------------------------------------------------------------------- 
#           Filename                         JD_MID               BJD_MID           RV_raw        RV_bvc     Sigma1    Sigma2    Flux   
#                                            [days]                [days]            [m/s]         [m/s]      [m/s]     [m/s]    [ADU]  
# -------------------------------------------------------------------------------------------------------------------------------------- 
s1_2021-08-18T05-44-05_ext.ooo        2459444.7403408000  2459444.7462947411     -26249.39     -13973.66    149.31      8.42    3190.3
s1_2021-08-18T05-48-13_ext.ooo        2459444.7432070002  2459444.7491610586     -26235.09     -13965.60    165.78      8.39    3398.3
s1_2021-08-18T05-52-20_ext.ooo        2459444.7460671002  2459444.7520212759     -26230.16     -13966.80    170.50      9.71    3019.1
s1_2021-08-18T05-56-25_ext.ooo        2459444.7489069002  2459444.7548611918     -26220.05     -13962.67    155.58      9.18    2905.1
s1_2021-08-18T06-00-30_ext.ooo        2459444.7517475998  2459444.7577020079     -26225.85     -13974.36    163.12      9.42    2967.1
s1_2021-08-18T06-04-40_ext.ooo        2459444.7546298001  2459444.7605843260     -26207.77     -13962.15    173.65     10.66    2551.3
s1_2021-08-18T06-08-46_ext.ooo        2459444.7574868002  2459444.7634414425     -26210.63     -13970.72    168.42     10.08    2637.9
s1_2021-08-20T21-58-08_ext.ooo        2459447.4167709998  2459447.4228318711     -25701.05     -13949.79    139.49      7.63    3613.3
s1_2021-08-20T22-02-14_ext.ooo        2459447.4196131001  2459447.4256740832     -25701.27     -13954.26    138.31      7.33    4054.6
s1_2021-08-20T22-06-20_ext.ooo        2459447.4224558999  2459447.4285169942     -25694.40     -13951.77    142.59      7.43    4056.1
s1_2021-08-20T22-10-27_ext.ooo        2459447.4253214998  2459447.4313827064     -25683.60     -13945.50    127.82      6.31    4304.1
s1_2021-08-20T22-14-33_ext.ooo        2459447.4281700002  2459447.4342313185     -25680.91     -13947.44    129.87      6.99    4825.1
s1_2021-08-20T22-18-39_ext.ooo        2459447.4310095999  2459447.4370710291     -25672.98     -13944.24    136.88      6.75    4980.1
s1_2021-08-20T22-22-46_ext.ooo        2459447.4338699002  2459447.4399314416     -25669.27     -13945.40    127.88      6.09    5041.3
s1_2021-08-20T22-26-52_ext.ooo        2459447.4367137002  2459447.4427753529     -25670.25     -13951.35    126.51      6.21    5154.1
s1_2021-08-20T22-30-57_ext.ooo        2459447.4395539002  2459447.4456156637     -25655.53     -13941.70    118.91      5.96    4805.3
s1_2021-08-20T22-35-07_ext.ooo        2459447.4424425000  2459447.4485043767     -25656.76     -13948.21    113.12      5.07    5017.3
s1_2021-08-20T22-39-12_ext.ooo        2459447.4452825999  2459447.4513445874     -25648.91     -13945.65    130.22      6.75    4465.7
s1_2021-08-20T22-43-17_ext.ooo        2459447.4481221000  2459447.4541841983     -25647.50     -13949.64    123.82      5.96    4418.6
s1_2021-08-20T22-47-26_ext.ooo        2459447.4510066002  2459447.4570688112     -25639.95     -13947.69    136.54      7.27    3766.2
s1_2021-08-20T22-51-33_ext.ooo        2459447.4538652999  2459447.4599276222     -25640.19     -13953.58    125.95      6.09    4355.9
s1_2021-08-20T22-55-42_ext.ooo        2459447.4567416999  2459447.4628041345     -25636.60     -13955.79    151.84      7.79    3702.2
s1_2021-08-20T22-59-49_ext.ooo        2459447.4596048999  2459447.4656674461     -25627.31     -13952.38    157.23      8.90    2656.3
s1_2021-08-20T23-03-55_ext.ooo        2459447.4624453001  2459447.4685079572     -25623.74     -13954.74    142.24      7.90    3159.4
s1_2021-08-20T23-08-00_ext.ooo        2459447.4652860998  2459447.4713488673     -25617.98     -13955.01    150.73      8.18    3042.7
s1_2021-08-20T23-12-07_ext.ooo        2459447.4681461998  2459447.4742090786     -25610.47     -13953.68    131.40      6.49    3827.7
s1_2021-08-20T23-16-14_ext.ooo        2459447.4710005000  2459447.4770634896     -25601.71     -13951.18    136.87      7.20    3525.5
s1_2021-08-20T23-20-20_ext.ooo        2459447.4738459000  2459447.4799090005     -25600.60     -13956.41    138.19      6.68    4072.7
s1_2021-08-20T23-24-27_ext.ooo        2459447.4767061002  2459447.4827693119     -25589.67     -13951.95    134.37      7.08    4331.5
s1_2021-08-20T23-28-34_ext.ooo        2459447.4795630998  2459447.4856264223     -25585.49     -13954.31    117.33      5.93    4734.3
s1_2021-08-20T23-32-39_ext.ooo        2459447.4824033999  2459447.4884668328     -25586.84     -13962.27    130.06      6.54    4542.7
s1_2021-08-20T23-36-47_ext.ooo        2459447.4852665002  2459447.4913300439     -25565.32     -13947.50    111.23      5.52    4991.7
s1_2021-08-20T23-40-52_ext.ooo        2459447.4881051001  2459447.4941687537     -25565.32     -13954.28    119.74      5.54    5119.7
s1_2021-08-20T23-44-58_ext.ooo        2459447.4909574999  2459447.4970212644     -25555.41     -13951.27    111.19      5.30    5851.4
s1_2021-08-20T23-49-05_ext.ooo        2459447.4938194999  2459447.4998833751     -25546.55     -13949.42    112.15      4.85    6299.9
s1_2021-08-20T23-53-12_ext.ooo        2459447.4966771002  2459447.5027410858     -25538.27     -13948.21    115.81      5.17    6402.5
s1_2021-08-20T23-57-19_ext.ooo        2459447.4995305999  2459447.5055946959     -25537.96     -13955.06    117.82      5.00    6186.4
s1_2021-08-21T00-01-26_ext.ooo        2459447.5023921002  2459447.5084563065     -25525.53     -13949.88    113.28      5.04    6707.6
s1_2021-08-21T00-05-32_ext.ooo        2459447.5052347002  2459447.5112990164     -25521.93     -13953.56    107.96      4.72    6944.3
s1_2021-08-21T00-09-37_ext.ooo        2459447.5080748000  2459447.5141392262     -25509.47     -13948.44    105.53      4.55    6994.0
s1_2021-08-21T00-13-45_ext.ooo        2459447.5109387999  2459447.5170033365     -25505.50     -13951.95    102.46      4.35    7697.8
s1_2021-08-21T00-17-50_ext.ooo        2459447.5137800998  2459447.5198447458     -25492.02     -13945.96    109.96      4.61    7128.2
s1_2021-08-21T00-21-56_ext.ooo        2459447.5166219999  2459447.5226867553     -25492.04     -13953.55    107.49      4.48    7214.4
s1_2021-08-21T00-26-06_ext.ooo        2459447.5195145002  2459447.5255793668     -25484.38     -13953.65    103.54      4.49    7331.6
s1_2021-08-21T00-30-11_ext.ooo        2459447.5223547001  2459447.5284196762     -25476.03     -13953.00    118.67      5.32    6518.9
s1_2021-08-21T00-34-19_ext.ooo        2459447.5252218000  2459447.5312868864     -25469.40     -13954.20    112.91      4.92    6969.0
s1_2021-08-21T00-38-27_ext.ooo        2459447.5280920002  2459447.5341571965     -25451.71     -13944.40    103.06      4.37    6955.1
s1_2021-08-21T01-30-45_ext.ooo        2459447.5644148998  2459447.5704814852     -25351.10     -13948.14    103.42      4.37    6745.1
s1_2021-08-21T01-45-38_ext.ooo        2459447.5747524998  2459447.5808194783     -25322.55     -13950.39    105.24      4.37    7604.0
s1_2021-08-21T01-49-45_ext.ooo        2459447.5776153002  2459447.5836823871     -25312.19     -13948.63    104.46      4.70    7535.9
s1_2021-08-21T01-53-52_ext.ooo        2459447.5804718998  2459447.5865390948     -25301.64     -13946.66    108.40      5.06    7567.0
s1_2021-08-21T01-58-00_ext.ooo        2459447.5833403999  2459447.5894077038     -25292.35     -13946.01    109.63      4.54    7402.4
s1_2021-08-21T02-02-06_ext.ooo        2459447.5861840001  2459447.5922514116     -25287.55     -13949.79    119.69      5.14    7139.4
s1_2021-08-21T02-06-14_ext.ooo        2459447.5890591000  2459447.5951266200     -25274.25     -13945.18    117.39      5.35    7131.6
s1_2021-08-21T02-10-21_ext.ooo        2459447.5919198999  2459447.5979875284     -25268.58     -13948.17    111.35      4.73    6795.4
s1_2021-08-21T02-14-28_ext.ooo        2459447.5947778001  2459447.6008455362     -25251.38     -13939.62    117.65      5.08    6656.1
s1_2021-08-21T02-18-34_ext.ooo        2459447.5976208001  2459447.6036886438     -25250.45     -13947.31    118.13      4.50    6503.9
s1_2021-08-21T02-22-44_ext.ooo        2459447.6005130000  2459447.6065809526     -25234.06     -13939.68    117.92      5.17    6454.5
s1_2021-08-21T02-26-49_ext.ooo        2459447.6033526999  2459447.6094207596     -25229.99     -13944.22    118.09      4.94    6465.9
s1_2021-08-21T02-30-56_ext.ooo        2459447.6062121000  2459447.6122802673     -25218.30     -13941.20     97.75      4.72    6694.6
s1_2021-08-21T02-35-04_ext.ooo        2459447.6090825000  2459447.6151507753     -25207.07     -13938.66    116.80      5.43    6629.4
s1_2021-08-21T02-39-10_ext.ooo        2459447.6119221998  2459447.6179905818     -25200.51     -13940.69    111.49      4.91    6679.4
s1_2021-08-21T02-43-17_ext.ooo        2459447.6147810998  2459447.6208495894     -25191.06     -13939.90    111.28      5.06    6710.8
s1_2021-08-21T02-47-25_ext.ooo        2459447.6176542002  2459447.6237227973     -25187.93     -13945.44    105.50      4.72    6954.1
s1_2021-08-21T02-51-30_ext.ooo        2459447.6204975001  2459447.6265662038     -25172.77     -13938.85    115.08      5.29    6795.8
s1_2021-08-21T02-55-36_ext.ooo        2459447.6233358998  2459447.6294047101     -25165.51     -13940.13    118.92      5.30    7100.4
s1_2021-08-21T02-59-47_ext.ooo        2459447.6262404998  2459447.6323094186     -25155.04     -13938.39    114.21      5.09    7059.2
s1_2021-08-21T03-03-52_ext.ooo        2459447.6290826001  2459447.6351516256     -25145.29     -13937.15    120.98      5.52    6951.7
s1_2021-08-21T03-07-58_ext.ooo        2459447.6319285999  2459447.6379977316     -25132.82     -13933.18    109.95      4.53    7244.3
s1_2021-08-21T03-12-06_ext.ooo        2459447.6347985999  2459447.6408678391     -25131.37     -13940.28    120.03      5.01    7363.3
s1_2021-08-21T03-16-11_ext.ooo        2459447.6376370001  2459447.6437063450     -25118.98     -13936.33    116.70      4.98    6887.7
s1_2021-08-21T03-20-21_ext.ooo        2459447.6405223999  2459447.6465918524     -25113.01     -13938.89    101.75      4.54    6813.3
s1_2021-08-21T03-24-33_ext.ooo        2459447.6434463998  2459447.6495159618     -25101.53     -13936.03    110.45      4.73    6952.4
s1_2021-08-21T03-28-39_ext.ooo        2459447.6462952001  2459447.6523648677     -25096.30     -13939.16    113.27      5.04    6600.1
s1_2021-08-21T03-32-46_ext.ooo        2459447.6491496000  2459447.6552193742     -25088.08     -13939.28    121.87      4.94    6876.0
s1_2021-08-21T03-36-54_ext.ooo        2459447.6520143999  2459447.6580842803     -25076.03     -13935.56    111.87      4.77    7459.3
s1_2021-08-21T03-40-59_ext.ooo        2459447.6548543000  2459447.6609242861     -25071.02     -13938.76    115.57      5.10    6782.8
s1_2021-08-21T03-45-07_ext.ooo        2459447.6577315000  2459447.6638015932     -25060.14     -13936.17    111.06      4.78    7023.7
s1_2021-08-21T03-49-16_ext.ooo        2459447.6606044001  2459447.6666746000     -25054.06     -13938.31    112.55      5.04    6931.8
s1_2021-08-21T03-53-21_ext.ooo        2459447.6634445000  2459447.6695148051     -25042.53     -13934.86    107.51      4.45    6951.1
s1_2021-08-21T03-57-28_ext.ooo        2459447.6663024998  2459447.6723729107     -25031.57     -13931.98    113.80      4.70    6630.0
s1_2021-08-21T04-01-37_ext.ooo        2459447.6691815001  2459447.6752520176     -25030.70     -13939.19    105.38      4.72    7123.4
s1_2021-08-21T04-05-42_ext.ooo        2459447.6720214998  2459447.6780921225     -25018.74     -13935.16    125.86      5.53    6761.9
s1_2021-08-21T04-09-47_ext.ooo        2459447.6748609999  2459447.6809317274     -25011.25     -13935.54    112.77      4.99    6628.2
s1_2021-08-21T04-13-54_ext.ooo        2459447.6777197002  2459447.6837905333     -25004.71     -13936.85    123.22      5.63    5874.0
s1_2021-08-21T04-18-00_ext.ooo        2459447.6805643998  2459447.6866353382     -24999.17     -13939.06    124.12      5.44    5595.7
s1_2021-08-21T04-22-06_ext.ooo        2459447.6834038999  2459447.6894749431     -24993.04     -13940.62    126.86      6.14    5807.8
s1_2021-08-21T04-26-16_ext.ooo        2459447.6863034000  2459447.6923745498     -24989.55     -13944.90    111.78      5.22    5434.8
s1_2021-08-21T22-01-14_ext.ooo        2459448.4189176001  2459448.4250157657     -25227.74     -13936.81    129.21      6.43    4505.0
s1_2021-08-21T22-05-20_ext.ooo        2459448.4217679002  2459448.4278661734     -25219.20     -13932.75    129.36      6.87    4723.3
s1_2021-08-21T22-09-25_ext.ooo        2459448.4246065002  2459448.4307048800     -25221.61     -13939.74    137.80      7.31    4612.0
s1_2021-08-21T22-13-35_ext.ooo        2459448.4274905999  2459448.4335890887     -25209.50     -13932.41    134.74      6.89    4888.2
s1_2021-08-21T22-17-43_ext.ooo        2459448.4303601999  2459448.4364587963     -25205.88     -13933.66    128.22      6.74    5075.9
s1_2021-08-21T22-21-48_ext.ooo        2459448.4332038001  2459448.4393025036     -25206.53     -13939.25    144.64      7.34    4810.2
s1_2021-08-21T22-25-58_ext.ooo        2459448.4360898002  2459448.4421886122     -25194.15     -13932.01    138.65      6.94    4874.1
s1_2021-08-21T22-30-03_ext.ooo        2459448.4389284998  2459448.4450274184     -25194.71     -13937.73    126.11      6.81    4968.8
s1_2021-08-21T22-34-10_ext.ooo        2459448.4417866999  2459448.4478857261     -25187.32     -13935.64    138.55      6.50    5018.4
s1_2021-08-21T22-38-18_ext.ooo        2459448.4446592000  2459448.4507583338     -25179.16     -13932.92    145.96      7.23    4924.4
s1_2021-08-21T22-42-23_ext.ooo        2459448.4474975001  2459448.4535967405     -25181.07     -13940.32    131.77      6.51    4886.4
s1_2021-08-21T22-46-29_ext.ooo        2459448.4503454999  2459448.4564448474     -25174.12     -13938.99    130.77      6.62    5191.9
s1_2021-08-21T22-50-37_ext.ooo        2459448.4532114998  2459448.4593109544     -25165.97     -13936.60    127.74      5.68    5326.8
s1_2021-08-21T22-54-42_ext.ooo        2459448.4560509999  2459448.4621505612     -25160.80     -13937.23    116.72      5.30    5856.9
s1_2021-08-21T22-58-48_ext.ooo        2459448.4588961001  2459448.4649957679     -25151.43     -13933.78    121.48      5.75    6145.5
s1_2021-08-21T23-02-56_ext.ooo        2459448.4617618001  2459448.4678615751     -25148.97     -13937.39    132.91      6.21    6455.6
s1_2021-08-21T23-07-02_ext.ooo        2459448.4646116002  2459448.4707114818     -25140.54     -13935.10    114.67      5.17    6357.9
s1_2021-08-21T23-11-08_ext.ooo        2459448.4674557000  2459448.4735556878     -25132.64     -13933.41    129.59      5.78    6414.7
s1_2021-08-21T23-15-16_ext.ooo        2459448.4703257000  2459448.4764257949     -25134.25     -13941.39    125.59      5.96    6341.6
s1_2021-08-21T23-19-22_ext.ooo        2459448.4731826000  2459448.4792828020     -25127.82     -13941.41    121.09      5.58    6101.4
s1_2021-08-21T23-23-28_ext.ooo        2459448.4760282999  2459448.4821286080     -25115.51     -13935.61    125.55      5.86    6054.8
s1_2021-08-21T23-27-38_ext.ooo        2459448.4789215000  2459448.4850219158     -25112.73     -13939.54    127.86      5.54    6689.9
s1_2021-08-21T23-31-45_ext.ooo        2459448.4817770999  2459448.4878776222     -25107.91     -13941.44    118.15      5.41    6631.1
s1_2021-08-21T23-35-52_ext.ooo        2459448.4846394002  2459448.4907400291     -25099.06     -13939.41    114.14      5.16    6989.2
s1_2021-08-21T23-39-59_ext.ooo        2459448.4874991998  2459448.4935999354     -25091.36     -13938.61    122.24      5.66    7370.7
s1_2021-08-21T23-44-06_ext.ooo        2459448.4903509002  2459448.4964517420     -25084.69     -13938.91    117.66      5.33    7280.5
s1_2021-08-21T23-48-11_ext.ooo        2459448.4931903998  2459448.4992913469     -25081.32     -13942.56    114.01      5.38    6693.8
s1_2021-08-21T23-52-20_ext.ooo        2459448.4960658001  2459448.5021668542     -25073.38     -13941.82    107.10      5.49    6150.5
s1_2021-08-21T23-56-25_ext.ooo        2459448.4989109002  2459448.5050120600     -25075.40     -13951.03    122.65      5.51    6724.7
s1_2021-08-22T00-00-31_ext.ooo        2459448.5017554001  2459448.5078566656     -25065.10     -13948.01    115.15      5.08    7481.6
s1_2021-08-22T00-04-39_ext.ooo        2459448.5046278001  2459448.5107291718     -25055.80     -13946.13    116.34      5.09    7292.1
s1_2021-08-22T00-08-45_ext.ooo        2459448.5074681002  2459448.5135695771     -25045.84     -13943.57    102.69      5.15    6920.6
s1_2021-08-22T00-12-52_ext.ooo        2459448.5103267999  2459448.5164283831     -25044.10     -13949.36    106.79      4.78    6753.4
s1_2021-08-22T00-16-59_ext.ooo        2459448.5131847002  2459448.5192863890     -25036.59     -13949.45    111.04      4.87    7462.2
s1_2021-08-22T00-21-04_ext.ooo        2459448.5160272000  2459448.5221289941     -25026.18     -13946.67    112.43      5.00    7484.8
s1_2021-08-22T00-25-10_ext.ooo        2459448.5188666000  2459448.5249684989     -25021.14     -13949.31    107.02      4.67    7557.5
s1_2021-08-22T00-29-19_ext.ooo        2459448.5217535002  2459448.5278555057     -25012.25     -13948.29    111.96      4.81    7593.7
s1_2021-08-22T00-33-26_ext.ooo        2459448.5246162000  2459448.5307183112     -25004.64     -13948.56    106.33      4.42    7730.6
s1_2021-08-22T00-37-33_ext.ooo        2459448.5274723000  2459448.5335745164     -24998.17     -13950.00    110.79      4.61    8242.8
s1_2021-08-22T00-41-40_ext.ooo        2459448.5303324000  2459448.5364347221     -24986.13     -13945.94    113.63      4.86    8246.0
s1_2021-08-22T01-53-22_ext.ooo        2459448.5801221998  2459448.5862263446     -24854.24     -13959.88    108.23      4.96    8066.3
s1_2021-08-22T01-57-27_ext.ooo        2459448.5829615002  2459448.5890657483     -24846.30     -13960.51    106.08      4.40    8388.8
s1_2021-08-22T02-01-34_ext.ooo        2459448.5858185999  2459448.5919229514     -24832.89     -13955.74    101.89      4.23    7956.5
s1_2021-08-22T02-05-43_ext.ooo        2459448.5887016999  2459448.5948061561     -24825.35     -13956.94    103.98      4.53    8068.1
s1_2021-08-22T02-09-50_ext.ooo        2459448.5915617002  2459448.5976662603     -24816.71     -13956.96    107.77      4.43    7677.0
s1_2021-08-22T02-13-57_ext.ooo        2459448.5944194999  2459448.6005241633     -24810.04     -13958.95    109.11      4.86    7852.5
s1_2021-08-22T02-18-07_ext.ooo        2459448.5973095000  2459448.6034142682     -24803.37     -13961.06    109.66      5.14    7963.5
s1_2021-08-22T02-22-17_ext.ooo        2459448.6002043998  2459448.6063092728     -24790.41     -13956.88    114.93      5.03    7668.8
s1_2021-08-22T02-26-24_ext.ooo        2459448.6030588001  2459448.6091637760     -24782.48     -13957.62    103.93      4.53    7903.2
s1_2021-08-22T02-30-31_ext.ooo        2459448.6059174999  2459448.6120225792     -24768.58     -13952.38    114.03      4.63    8858.6
s1_2021-08-22T02-34-37_ext.ooo        2459448.6087619001  2459448.6148670819     -24765.74     -13958.16    107.35      4.51    8645.8
s1_2021-08-22T02-38-42_ext.ooo        2459448.6116064000  2459448.6177116847     -24754.87     -13955.90    115.39      5.28    8829.9
s1_2021-08-22T02-42-54_ext.ooo        2459448.6145191998  2459448.6206245893     -24744.03     -13953.88    110.29      4.47    8363.5
s1_2021-08-22T02-46-59_ext.ooo        2459448.6173586999  2459448.6234641913     -24741.50     -13959.91    111.75      4.57    8886.2
s1_2021-08-22T02-51-05_ext.ooo        2459448.6201976999  2459448.6263032937     -24725.94     -13952.91    107.46      4.51    9019.5
s1_2021-08-22T02-55-14_ext.ooo        2459448.6230875999  2459448.6291932976     -24716.88     -13952.54    115.29      4.65    8939.8
s1_2021-08-22T02-59-19_ext.ooo        2459448.6259257998  2459448.6320315995     -24712.15     -13956.33    113.25      4.97    9056.8
s1_2021-08-22T03-03-27_ext.ooo        2459448.6287881001  2459448.6348940022     -24702.95     -13955.69    100.88      4.27    8888.1
s1_2021-08-22T03-07-34_ext.ooo        2459448.6316539999  2459448.6377600050     -24691.48     -13952.77    110.74      5.15    8731.3
s1_2021-08-22T03-11-40_ext.ooo        2459448.6344960998  2459448.6406022068     -24685.35     -13955.09    108.78      4.57    8233.2
s1_2021-08-22T03-15-45_ext.ooo        2459448.6373355002  2459448.6434417088     -24690.74     -13968.90    144.52      7.24    3216.0
s1_2021-08-22T22-22-28_ext.ooo        2459449.4336681999  2459449.4398025880     -24753.06     -13947.56    128.70      5.94    5136.7
s1_2021-08-22T22-26-34_ext.ooo        2459449.4365135999  2459449.4426480904     -24753.90     -13953.59    141.16      6.42    5616.1
s1_2021-08-22T22-30-40_ext.ooo        2459449.4393577999  2459449.4454923929     -24742.36     -13947.36    137.33      5.96    5562.6
s1_2021-08-22T22-34-49_ext.ooo        2459449.4422448999  2459449.4483795972     -24739.78     -13950.27    136.84      6.30    5462.0
s1_2021-08-22T22-38-57_ext.ooo        2459449.4451045999  2459449.4512394001     -24733.91     -13949.95    136.70      6.39    5703.8
s1_2021-08-22T22-43-02_ext.ooo        2459449.4479502002  2459449.4540851028     -24731.50     -13953.17    131.48      5.80    5975.2
s1_2021-08-22T22-47-10_ext.ooo        2459449.4508154001  2459449.4569504056     -24720.33     -13947.77    125.10      5.60    6377.2
s1_2021-08-22T22-51-15_ext.ooo        2459449.4536549998  2459449.4597901073     -24711.82     -13945.10    129.84      5.60    6191.6
s1_2021-08-22T22-55-22_ext.ooo        2459449.4565141001  2459449.4626493105     -24708.03     -13947.28    122.93      5.58    6277.0
s1_2021-08-22T22-59-32_ext.ooo        2459449.4593993002  2459449.4655346139     -24702.43     -13947.81    129.02      5.95    6248.7
s1_2021-08-22T23-03-38_ext.ooo        2459449.4622499002  2459449.4683853164     -24693.89     -13945.43    122.17      5.32    6174.7
s1_2021-08-22T23-07-44_ext.ooo        2459449.4651032998  2459449.4712388185     -24687.72     -13945.51    128.83      5.44    6031.4
s1_2021-08-22T23-11-54_ext.ooo        2459449.4679975002  2459449.4741331222     -24686.14     -13950.39    121.95      5.57    6134.1
s1_2021-08-22T23-16-05_ext.ooo        2459449.4708917998  2459449.4770275257     -24678.58     -13949.38    133.19      6.20    6032.3
s1_2021-08-22T23-20-10_ext.ooo        2459449.4737379998  2459449.4798738277     -24672.51     -13949.84    119.65      5.58    6552.9
s1_2021-08-22T23-24-19_ext.ooo        2459449.4766134000  2459449.4827493308     -24666.83     -13950.86    124.70      5.23    6677.0
s1_2021-08-22T23-28-28_ext.ooo        2459449.4794933000  2459449.4856293336     -24662.00     -13952.82    123.93      6.14    6387.5
s1_2021-08-22T23-32-33_ext.ooo        2459449.4823345002  2459449.4884706354     -24658.52     -13956.14    118.98      5.40    6363.7
s1_2021-08-22T23-36-43_ext.ooo        2459449.4852296999  2459449.4913659384     -24645.64     -13950.27    127.21      5.70    6316.3
s1_2021-08-22T23-40-49_ext.ooo        2459449.4880730002  2459449.4942093403     -24644.59     -13956.19    120.00      5.70    6125.7
s1_2021-08-22T23-44-56_ext.ooo        2459449.4909370998  2459449.4970735419     -24635.61     -13954.31    128.02      5.86    6180.4
s1_2021-08-22T23-49-04_ext.ooo        2459449.4938059002  2459449.4999424447     -24624.06     -13949.96    114.98      5.55    6425.2
s1_2021-08-22T23-53-11_ext.ooo        2459449.4966648999  2459449.5028015459     -24616.74     -13949.89    123.09      5.49    6344.3
s1_2021-08-22T23-57-18_ext.ooo        2459449.4995244001  2459449.5056611481     -24609.28     -13949.77    129.27      5.95    6515.6
s1_2021-08-23T00-01-30_ext.ooo        2459449.5024338001  2459449.5085706515     -24600.33     -13948.35    127.40      5.72    6362.0
s1_2021-08-23T00-05-36_ext.ooo        2459449.5052858000  2459449.5114227529     -24595.67     -13951.16    116.38      5.34    6766.2
s1_2021-08-23T00-09-42_ext.ooo        2459449.5081258998  2459449.5142629533     -24590.06     -13953.05    133.02      5.59    6838.6
s1_2021-08-23T00-13-49_ext.ooo        2459449.5109852999  2459449.5171224549     -24580.02     -13950.64    123.11      5.13    7537.0
s1_2021-08-23T00-17-56_ext.ooo        2459449.5138435001  2459449.5199807566     -24571.49     -13949.79    115.47      4.72    7880.7
s1_2021-08-23T00-22-03_ext.ooo        2459449.5167029002  2459449.5228402582     -24564.32     -13950.38    123.69      5.37    8054.7
s1_2021-08-23T00-26-12_ext.ooo        2459449.5195904002  2459449.5257278602     -24554.78     -13948.74    114.05      5.08    8203.9
s1_2021-08-23T00-30-19_ext.ooo        2459449.5224438999  2459449.5285814609     -24547.71     -13949.53    117.40      5.13    8164.3
s1_2021-08-23T00-34-26_ext.ooo        2459449.5253083999  2459449.5314460625     -24542.38     -13952.16    120.52      5.09    8209.8
s1_2021-08-23T00-38-33_ext.ooo        2459449.5281687002  2459449.5343064638     -24535.12     -13952.90    107.81      4.93    8392.9
s1_2021-08-23T00-42-39_ext.ooo        2459449.5310089001  2459449.5371467639     -24527.93     -13953.71    116.49      5.14    8547.5
s1_2021-08-23T00-46-44_ext.ooo        2459449.5338474000  2459449.5399853638     -24517.66     -13951.49    101.98      4.55    8776.9
s1_2021-08-23T00-50-51_ext.ooo        2459449.5367075000  2459449.5428455649     -24511.83     -13953.82    112.01      4.99    8722.2
s1_2021-08-23T00-54-58_ext.ooo        2459449.5395689001  2459449.5457070656     -24502.77     -13952.96    112.36      4.76    8166.1
s1_2021-08-23T00-59-05_ext.ooo        2459449.5424245000  2459449.5485627661     -24493.38     -13951.82    114.99      4.61    8345.9
s1_2021-08-23T01-03-18_ext.ooo        2459449.5453499998  2459449.5514883688     -24485.27     -13952.20    121.78      5.50    8803.8
s1_2021-08-23T02-04-27_ext.ooo        2459449.5878184000  2459449.5939582530     -24361.23     -13954.98    110.77      4.73    8018.6
s1_2021-08-23T02-08-34_ext.ooo        2459449.5906819999  2459449.5968219521     -24350.24     -13952.69    109.00      4.82    8015.2
s1_2021-08-23T02-12-40_ext.ooo        2459449.5935244998  2459449.5996645507     -24349.29     -13960.37    109.00      4.78    7731.4
s1_2021-08-23T02-16-47_ext.ooo        2459449.5963829001  2459449.6025230503     -24341.14     -13960.90    110.38      4.80    7715.6
s1_2021-08-23T21-47-45_ext.ooo        2459450.4095536000  2459450.4157212903     -24352.52     -13970.83    143.79      7.24    3448.4
s1_2021-08-23T21-51-54_ext.ooo        2459450.4124332001  2459450.4186009900     -24345.63     -13968.33    146.00      7.73    3287.2
s1_2021-08-23T21-56-02_ext.ooo        2459450.4153049001  2459450.4214727893     -24337.71     -13964.90    166.15      9.57    2804.0
s1_2021-08-23T22-00-10_ext.ooo        2459450.4181728000  2459450.4243407887     -24335.43     -13967.23    135.66      7.28    4009.4
s1_2021-08-23T22-04-17_ext.ooo        2459450.4210319999  2459450.4272000873     -24337.22     -13973.73    142.15      6.67    4110.6
s1_2021-08-23T22-08-23_ext.ooo        2459450.4238876002  2459450.4300557864     -24327.34     -13968.67    124.55      6.22    4721.1
s1_2021-08-23T22-12-32_ext.ooo        2459450.4267612998  2459450.4329295852     -24316.66     -13962.96    130.78      6.50    4627.0
s1_2021-08-23T22-16-40_ext.ooo        2459450.4296344002  2459450.4358027847     -24308.58     -13959.97    133.38      6.02    4750.7
s1_2021-08-23T22-20-47_ext.ooo        2459450.4324893998  2459450.4386578831     -24308.35     -13964.90    135.68      6.71    4038.0
s1_2021-08-23T22-24-54_ext.ooo        2459450.4353494002  2459450.4415179822     -24304.49     -13966.34    138.63      6.62    4688.1
s1_2021-08-23T22-29-00_ext.ooo        2459450.4382058000  2459450.4443744808     -24296.80     -13964.03    126.11      6.56    3970.2
s1_2021-08-23T22-33-08_ext.ooo        2459450.4410705999  2459450.4472393794     -24288.56     -13961.31    140.41      7.04    3959.9
s1_2021-08-23T22-37-15_ext.ooo        2459450.4439304001  2459450.4500992782     -24285.04     -13963.42    151.78      7.82    4050.2
s1_2021-08-23T22-41-22_ext.ooo        2459450.4467885001  2459450.4529574765     -24280.55     -13964.65    116.64      5.63    4547.6
